title,company,description,requirements,salary,location,email,has_company_logo,has_questions,telecommuting,fraudulent
Cloud Architect,Netflix Inc,"Netflix Inc is seeking a talented Cloud Architect for our Mumbai, India office. The ideal candidate will have experience in Scala, Apache Spark, Hadoop. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","Bachelor's or Master's degree required. 4+ years in Scala, Apache Spark, Hadoop. Strong analytical and problem-solving abilities. Team player.","$164,000/year","Mumbai, India",careers@netflix.com,1,1,0,0
Database Administrator,TCS,"Join our growing engineering team as a Database Administrator. You'll be responsible for designing and implementing scalable systems and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in Python, Django, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$105,000/year","Bangalore, India",careers@tcs.com,1,1,0,0
Product Manager,Oracle Corporation,"We are looking for an experienced Product Manager to join our platform team. You will work on scalable microservices using Java, Spring Boot, AWS. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","7+ years of industry experience. Expert knowledge of Java, Spring Boot, AWS. Leadership experience preferred. Strong written and verbal communication.","$168,000/year","Hyderabad, India",careers@oracle.com,1,1,0,0
Machine Learning Engineer,Intel Corporation,"Intel Corporation is seeking a talented Machine Learning Engineer for our Mumbai, India office. The ideal candidate will have experience in Kotlin, Android, Firebase. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","Bachelor's or Master's degree required. 4+ years in Kotlin, Android, Firebase. Strong analytical and problem-solving abilities. Team player.","$154,000/year","Mumbai, India",careers@intel.com,1,1,0,0
Project Manager,Accenture,"Exciting opportunity for a Project Manager at Accenture. Work on cutting-edge scalable microservices with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","2+ years relevant experience. Knowledge of Kotlin, Android, Firebase. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$159,000/year","Hyderabad, India",careers@accenture.com,1,0,0,0
Project Manager,TCS,"TCS is seeking a talented Project Manager for our Bangalore, India office. The ideal candidate will have experience in Python, Django, PostgreSQL. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","3+ years professional experience. Proficiency in Python, Django, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$143,000/year","Bangalore, India",careers@tcs.com,1,1,0,0
Backend Developer,Netflix Inc,"Netflix Inc is seeking a talented Backend Developer for our Bangalore, India office. The ideal candidate will have experience in Ruby on Rails, Redis, PostgreSQL. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","7+ years of industry experience. Expert knowledge of Ruby on Rails, Redis, PostgreSQL. Leadership experience preferred. Strong written and verbal communication.","$66,000/year","Bangalore, India",careers@netflix.com,1,1,0,0
QA Engineer,Netflix Inc,"We are looking for an experienced QA Engineer to join our product team. You will work on cloud infrastructure using Go, Docker, Kubernetes. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","3+ years professional experience. Proficiency in Go, Docker, Kubernetes. Excellent communication skills. Experience with agile methodologies.","$150,000/year","Austin, TX",careers@netflix.com,1,1,0,0
Senior Software Engineer,Amazon Web Services,"We are looking for an experienced Senior Software Engineer to join our infrastructure team. You will work on cloud infrastructure using C++, Linux, Embedded Systems. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in C++, Linux, Embedded Systems. Strong analytical and problem-solving abilities. Team player.","$158,000/year","Toronto, Canada",careers@amazon.com,1,1,0,0
Full Stack Developer,Spotify Technology,"Join our growing engineering team as a Full Stack Developer. You'll be responsible for building ML models for production and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in Ruby on Rails, Redis, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$183,000/year","New York, NY",careers@spotify.com,1,1,0,0
Data Scientist,IBM Corporation,"Join our growing engineering team as a Data Scientist. You'll be responsible for optimizing system performance and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in Python, Django, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$115,000/year","Bangalore, India",careers@ibm.com,1,1,0,0
Full Stack Developer,Apple Inc,"Apple Inc is seeking a talented Full Stack Developer for our Berlin, Germany office. The ideal candidate will have experience in Java, Spring Boot, AWS. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","Bachelor's or Master's degree required. 4+ years in Java, Spring Boot, AWS. Strong analytical and problem-solving abilities. Team player.","$95,000/year","Berlin, Germany",careers@apple.com,1,1,0,0
Project Manager,Netflix Inc,"Exciting opportunity for a Project Manager at Netflix Inc. Work on cutting-edge mobile applications with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","Bachelor's or Master's degree required. 4+ years in Swift, iOS, Core Data. Strong analytical and problem-solving abilities. Team player.","$69,000/year","Hybrid - San Jose, CA",careers@netflix.com,1,0,0,0
Mobile Developer,Tech Mahindra,"We are looking for an experienced Mobile Developer to join our platform team. You will work on mobile applications using Kotlin, Android, Firebase. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","3+ years professional experience. Proficiency in Kotlin, Android, Firebase. Excellent communication skills. Experience with agile methodologies.","$67,000/year","San Francisco, CA",careers@tech.com,1,1,0,0
Business Analyst,Google LLC,"Exciting opportunity for a Business Analyst at Google LLC. Work on cutting-edge cloud infrastructure with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","2+ years relevant experience. Knowledge of Java, Spring Boot, AWS. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$108,000/year","Seattle, WA",careers@google.com,1,1,0,0
Frontend Engineer,Apple Inc,"Apple Inc is seeking a talented Frontend Engineer for our Austin, TX office. The ideal candidate will have experience in Python, Django, PostgreSQL. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","3+ years professional experience. Proficiency in Python, Django, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$115,000/year","Austin, TX",careers@apple.com,1,1,0,0
Senior Software Engineer,Tech Mahindra,"Join our growing engineering team as a Senior Software Engineer. You'll be responsible for leading technical architecture decisions and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","7+ years of industry experience. Expert knowledge of Swift, iOS, Core Data. Leadership experience preferred. Strong written and verbal communication.","$139,000/year","Mumbai, India",careers@tech.com,1,1,0,0
Site Reliability Engineer,Cisco Systems,"Join our growing engineering team as a Site Reliability Engineer. You'll be responsible for designing and implementing scalable systems and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in Swift, iOS, Core Data. Excellent communication skills. Experience with agile methodologies.","$200,000/year",Singapore,careers@cisco.com,1,1,0,0
Database Administrator,TCS,"Join our growing engineering team as a Database Administrator. You'll be responsible for designing and implementing scalable systems and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in Python, Django, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$68,000/year","Seattle, WA",careers@tcs.com,1,1,0,0
UX Designer,Netflix Inc,"We're hiring a UX Designer to help us build data platform. This role involves building ML models for production. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","5+ years of experience in React, TypeScript, Node.js. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$139,000/year","Austin, TX",careers@netflix.com,1,1,0,0
QA Engineer,TCS,"Exciting opportunity for a QA Engineer at TCS. Work on cutting-edge data platform with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","5+ years of experience in Scala, Apache Spark, Hadoop. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$87,000/year","Chicago, IL",careers@tcs.com,1,1,0,0
Mobile Developer,TCS,"We're hiring a Mobile Developer to help us build mobile applications. This role involves building ML models for production. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","5+ years of experience in Java, Spring Boot, AWS. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$143,000/year",Singapore,careers@tcs.com,1,0,0,0
Cloud Architect,Cognizant,"Exciting opportunity for a Cloud Architect at Cognizant. Work on cutting-edge ML pipelines with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","Bachelor's or Master's degree required. 4+ years in Go, Docker, Kubernetes. Strong analytical and problem-solving abilities. Team player.","$66,000/year","Berlin, Germany",careers@cognizant.com,1,1,0,0
Business Analyst,Intel Corporation,"Join our growing engineering team as a Business Analyst. You'll be responsible for designing and implementing scalable systems and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in React, TypeScript, Node.js. Excellent communication skills. Experience with agile methodologies.","$111,000/year",Remote,careers@intel.com,1,0,1,0
Senior Software Engineer,Apple Inc,"We're hiring a Senior Software Engineer to help us build data platform. This role involves leading technical architecture decisions. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","3+ years professional experience. Proficiency in Kotlin, Android, Firebase. Excellent communication skills. Experience with agile methodologies.","$86,000/year","Bangalore, India",careers@apple.com,1,1,0,0
Cloud Architect,TCS,"We're hiring a Cloud Architect to help us build cloud infrastructure. This role involves optimizing system performance. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","Bachelor's or Master's degree required. 4+ years in Java, Spring Boot, AWS. Strong analytical and problem-solving abilities. Team player.","$125,000/year","Pune, India",careers@tcs.com,1,1,0,0
Full Stack Developer,TCS,"We're hiring a Full Stack Developer to help us build cloud infrastructure. This role involves optimizing system performance. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","Bachelor's or Master's degree required. 4+ years in Java, Spring Boot, AWS. Strong analytical and problem-solving abilities. Team player.","$108,000/year","Hyderabad, India",careers@tcs.com,1,1,0,0
Product Manager,Wipro Limited,"Exciting opportunity for a Product Manager at Wipro Limited. Work on cutting-edge ML pipelines with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","3+ years professional experience. Proficiency in Python, TensorFlow, Kubernetes. Excellent communication skills. Experience with agile methodologies.","$199,000/year",Remote,careers@wipro.com,1,1,1,0
Data Scientist,Meta Platforms,"We're hiring a Data Scientist to help us build scalable microservices. This role involves designing and implementing scalable systems. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","5+ years of experience in Java, Spring Boot, AWS. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$140,000/year","New York, NY",careers@meta.com,1,0,0,0
Frontend Engineer,IBM Corporation,"We are looking for an experienced Frontend Engineer to join our infrastructure team. You will work on scalable microservices using Python, TensorFlow, Kubernetes. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","2+ years relevant experience. Knowledge of Python, TensorFlow, Kubernetes. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$77,000/year","Chicago, IL",careers@ibm.com,1,0,0,0
QA Engineer,Cognizant,"Exciting opportunity for a QA Engineer at Cognizant. Work on cutting-edge ML pipelines with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","7+ years of industry experience. Expert knowledge of Scala, Apache Spark, Hadoop. Leadership experience preferred. Strong written and verbal communication.","$148,000/year","Toronto, Canada",careers@cognizant.com,1,1,0,0
DevOps Engineer,Apple Inc,"We are looking for an experienced DevOps Engineer to join our infrastructure team. You will work on data platform using Go, Docker, Kubernetes. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","3+ years professional experience. Proficiency in Go, Docker, Kubernetes. Excellent communication skills. Experience with agile methodologies.","$171,000/year","Bangalore, India",careers@apple.com,1,1,0,0
Project Manager,Apple Inc,"We are looking for an experienced Project Manager to join our data team. You will work on scalable microservices using Python, TensorFlow, Kubernetes. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in Python, TensorFlow, Kubernetes. Strong analytical and problem-solving abilities. Team player.","$170,000/year","Hyderabad, India",careers@apple.com,1,0,0,0
Business Analyst,Infosys Limited,"We are looking for an experienced Business Analyst to join our data team. You will work on scalable microservices using Swift, iOS, Core Data. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in Swift, iOS, Core Data. Strong analytical and problem-solving abilities. Team player.","$167,000/year","Hyderabad, India",careers@infosys.com,1,1,0,0
Database Administrator,Accenture,"We're hiring a Database Administrator to help us build mobile applications. This role involves building ML models for production. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","5+ years of experience in Python, Django, PostgreSQL. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$104,000/year","New York, NY",careers@accenture.com,1,1,0,0
Product Manager,Cognizant,"We're hiring a Product Manager to help us build data platform. This role involves optimizing system performance. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","3+ years professional experience. Proficiency in C++, Linux, Embedded Systems. Excellent communication skills. Experience with agile methodologies.","$110,000/year","Toronto, Canada",careers@cognizant.com,1,1,0,0
DevOps Engineer,Cisco Systems,"Join our growing engineering team as a DevOps Engineer. You'll be responsible for leading technical architecture decisions and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","Bachelor's or Master's degree required. 4+ years in Java, Spring Boot, AWS. Strong analytical and problem-solving abilities. Team player.","$163,000/year",Remote,careers@cisco.com,1,1,1,0
Product Manager,Amazon Web Services,"Exciting opportunity for a Product Manager at Amazon Web Services. Work on cutting-edge scalable microservices with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","3+ years professional experience. Proficiency in Python, Django, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$69,000/year","Hybrid - San Jose, CA",careers@amazon.com,1,1,0,0
Home Based Job,,MAKE MONEY ONLINE! Guaranteed income. No investment required except small processing fee. Start earning today.,,,Anywhere,jobs@gmail.com,0,0,0,1
Business Analyst,Wipro Limited,"Join our growing engineering team as a Business Analyst. You'll be responsible for designing and implementing scalable systems and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","5+ years of experience in React, TypeScript, Node.js. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$143,000/year","Austin, TX",careers@wipro.com,1,1,0,0
Full Stack Developer,Microsoft Corporation,"Microsoft Corporation is seeking a talented Full Stack Developer for our Hyderabad, India office. The ideal candidate will have experience in Ruby on Rails, Redis, PostgreSQL. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","3+ years professional experience. Proficiency in Ruby on Rails, Redis, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$167,000/year","Hyderabad, India",careers@microsoft.com,1,1,0,0
Business Analyst,Apple Inc,"We are looking for an experienced Business Analyst to join our product team. You will work on mobile applications using React, TypeScript, Node.js. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in React, TypeScript, Node.js. Strong analytical and problem-solving abilities. Team player.","$123,000/year","Seattle, WA",careers@apple.com,1,1,0,0
Senior Software Engineer,Salesforce Inc,"Salesforce Inc is seeking a talented Senior Software Engineer for our Pune, India office. The ideal candidate will have experience in Python, TensorFlow, Kubernetes. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","Bachelor's or Master's degree required. 4+ years in Python, TensorFlow, Kubernetes. Strong analytical and problem-solving abilities. Team player.","$156,000/year","Pune, India",careers@salesforce.com,1,1,0,0
Business Analyst,IBM Corporation,"Exciting opportunity for a Business Analyst at IBM Corporation. Work on cutting-edge scalable microservices with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","3+ years professional experience. Proficiency in C++, Linux, Embedded Systems. Excellent communication skills. Experience with agile methodologies.","$133,000/year","Bangalore, India",careers@ibm.com,1,1,0,0
Work From Home Agent,XYZ Corp,Be your own boss. Financial freedom guaranteed. Earn from home. Uncapped earnings potential. No experience required at all.,,,Anywhere,work@hotmail.com,0,0,1,1
Project Manager,Cognizant,"Cognizant is seeking a talented Project Manager for our Pune, India office. The ideal candidate will have experience in Scala, Apache Spark, Hadoop. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","3+ years professional experience. Proficiency in Scala, Apache Spark, Hadoop. Excellent communication skills. Experience with agile methodologies.","$162,000/year","Pune, India",careers@cognizant.com,1,1,0,0
Senior Software Engineer,Wipro Limited,"Join our growing engineering team as a Senior Software Engineer. You'll be responsible for designing and implementing scalable systems and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","2+ years relevant experience. Knowledge of Scala, Apache Spark, Hadoop. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$73,000/year","Toronto, Canada",careers@wipro.com,1,1,0,0
Cloud Architect,HCL Technologies,"HCL Technologies is seeking a talented Cloud Architect for our Pune, India office. The ideal candidate will have experience in Python, TensorFlow, Kubernetes. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","5+ years of experience in Python, TensorFlow, Kubernetes. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$141,000/year","Pune, India",careers@hcl.com,1,0,0,0
Data Scientist,IBM Corporation,"IBM Corporation is seeking a talented Data Scientist for our Berlin, Germany office. The ideal candidate will have experience in React, TypeScript, Node.js. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","2+ years relevant experience. Knowledge of React, TypeScript, Node.js. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$121,000/year","Berlin, Germany",careers@ibm.com,1,0,0,0
Security Analyst,Cisco Systems,"We're hiring a Security Analyst to help us build cloud infrastructure. This role involves optimizing system performance. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","Bachelor's or Master's degree required. 4+ years in C++, Linux, Embedded Systems. Strong analytical and problem-solving abilities. Team player.","$174,000/year","Hyderabad, India",careers@cisco.com,1,0,0,0
Security Analyst,HCL Technologies,"HCL Technologies is seeking a talented Security Analyst for our San Francisco, CA office. The ideal candidate will have experience in Swift, iOS, Core Data. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","7+ years of industry experience. Expert knowledge of Swift, iOS, Core Data. Leadership experience preferred. Strong written and verbal communication.","$98,000/year","San Francisco, CA",careers@hcl.com,1,1,0,0
Backend Developer,Oracle Corporation,"Oracle Corporation is seeking a talented Backend Developer for our Remote office. The ideal candidate will have experience in Scala, Apache Spark, Hadoop. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","Bachelor's or Master's degree required. 4+ years in Scala, Apache Spark, Hadoop. Strong analytical and problem-solving abilities. Team player.","$186,000/year",Remote,careers@oracle.com,1,0,1,0
Systems Administrator,Microsoft Corporation,"Microsoft Corporation is seeking a talented Systems Administrator for our Toronto, Canada office. The ideal candidate will have experience in Scala, Apache Spark, Hadoop. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","5+ years of experience in Scala, Apache Spark, Hadoop. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$61,000/year","Toronto, Canada",careers@microsoft.com,1,1,0,0
Full Stack Developer,Infosys Limited,"Exciting opportunity for a Full Stack Developer at Infosys Limited. Work on cutting-edge scalable microservices with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","7+ years of industry experience. Expert knowledge of React, TypeScript, Node.js. Leadership experience preferred. Strong written and verbal communication.","$143,000/year","Bangalore, India",careers@infosys.com,1,1,0,0
Data Scientist,Amazon Web Services,"Amazon Web Services is seeking a talented Data Scientist for our Remote office. The ideal candidate will have experience in Go, Docker, Kubernetes. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","7+ years of industry experience. Expert knowledge of Go, Docker, Kubernetes. Leadership experience preferred. Strong written and verbal communication.","$102,000/year",Remote,careers@amazon.com,1,1,1,0
Site Reliability Engineer,Accenture,"Exciting opportunity for a Site Reliability Engineer at Accenture. Work on cutting-edge cloud infrastructure with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","Bachelor's or Master's degree required. 4+ years in React, TypeScript, Node.js. Strong analytical and problem-solving abilities. Team player.","$193,000/year","Hyderabad, India",careers@accenture.com,1,0,0,0
Home Based Job,,URGENT: Hiring now! No skills required. Earn $10000/month. Contact via personal email. No company website.,,$5000/week,,hiring@yahoo.com,0,0,0,1
Project Manager,Spotify Technology,"Spotify Technology is seeking a talented Project Manager for our Seattle, WA office. The ideal candidate will have experience in Scala, Apache Spark, Hadoop. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","Bachelor's or Master's degree required. 4+ years in Scala, Apache Spark, Hadoop. Strong analytical and problem-solving abilities. Team player.","$101,000/year","Seattle, WA",careers@spotify.com,1,1,0,0
Full Stack Developer,IBM Corporation,"We are looking for an experienced Full Stack Developer to join our security team. You will work on scalable microservices using Swift, iOS, Core Data. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","5+ years of experience in Swift, iOS, Core Data. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$83,000/year","Berlin, Germany",careers@ibm.com,1,1,0,0
QA Engineer,Spotify Technology,"We are looking for an experienced QA Engineer to join our platform team. You will work on scalable microservices using Kotlin, Android, Firebase. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","3+ years professional experience. Proficiency in Kotlin, Android, Firebase. Excellent communication skills. Experience with agile methodologies.","$83,000/year","Bangalore, India",careers@spotify.com,1,1,0,0
Product Manager,Oracle Corporation,"Oracle Corporation is seeking a talented Product Manager for our Chicago, IL office. The ideal candidate will have experience in Scala, Apache Spark, Hadoop. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","7+ years of industry experience. Expert knowledge of Scala, Apache Spark, Hadoop. Leadership experience preferred. Strong written and verbal communication.","$84,000/year","Chicago, IL",careers@oracle.com,1,1,0,0
Systems Administrator,Infosys Limited,"We're hiring a Systems Administrator to help us build data platform. This role involves designing and implementing scalable systems. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","3+ years professional experience. Proficiency in C++, Linux, Embedded Systems. Excellent communication skills. Experience with agile methodologies.","$189,000/year","Chicago, IL",careers@infosys.com,1,1,0,0
Site Reliability Engineer,Google LLC,"Join our growing engineering team as a Site Reliability Engineer. You'll be responsible for leading technical architecture decisions and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in Swift, iOS, Core Data. Excellent communication skills. Experience with agile methodologies.","$113,000/year","Toronto, Canada",careers@google.com,1,1,0,0
Full Stack Developer,Google LLC,"Exciting opportunity for a Full Stack Developer at Google LLC. Work on cutting-edge ML pipelines with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","3+ years professional experience. Proficiency in Ruby on Rails, Redis, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$100,000/year","Toronto, Canada",careers@google.com,1,1,0,0
Frontend Engineer,TCS,"TCS is seeking a talented Frontend Engineer for our Pune, India office. The ideal candidate will have experience in Scala, Apache Spark, Hadoop. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","3+ years professional experience. Proficiency in Scala, Apache Spark, Hadoop. Excellent communication skills. Experience with agile methodologies.","$142,000/year","Pune, India",careers@tcs.com,1,1,0,0
QA Engineer,Amazon Web Services,"We are looking for an experienced QA Engineer to join our cloud team. You will work on mobile applications using React, TypeScript, Node.js. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","2+ years relevant experience. Knowledge of React, TypeScript, Node.js. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$185,000/year","New York, NY",careers@amazon.com,1,1,0,0
Mobile Developer,TCS,"TCS is seeking a talented Mobile Developer for our Seattle, WA office. The ideal candidate will have experience in Ruby on Rails, Redis, PostgreSQL. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","3+ years professional experience. Proficiency in Ruby on Rails, Redis, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$101,000/year","Seattle, WA",careers@tcs.com,1,1,0,0
Senior Software Engineer,Wipro Limited,"Wipro Limited is seeking a talented Senior Software Engineer for our Singapore office. The ideal candidate will have experience in Python, TensorFlow, Kubernetes. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","5+ years of experience in Python, TensorFlow, Kubernetes. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$144,000/year",Singapore,careers@wipro.com,1,1,0,0
Backend Developer,TCS,"Exciting opportunity for a Backend Developer at TCS. Work on cutting-edge mobile applications with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","5+ years of experience in Python, Django, PostgreSQL. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$162,000/year",Remote,careers@tcs.com,1,1,1,0
Security Analyst,HCL Technologies,"We are looking for an experienced Security Analyst to join our cloud team. You will work on scalable microservices using C++, Linux, Embedded Systems. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in C++, Linux, Embedded Systems. Strong analytical and problem-solving abilities. Team player.","$126,000/year","Hybrid - San Jose, CA",careers@hcl.com,1,1,0,0
Technical Lead,Meta Platforms,"We're hiring a Technical Lead to help us build ML pipelines. This role involves leading technical architecture decisions. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","3+ years professional experience. Proficiency in Go, Docker, Kubernetes. Excellent communication skills. Experience with agile methodologies.","$92,000/year","Pune, India",careers@meta.com,1,1,0,0
Cloud Architect,HCL Technologies,"We're hiring a Cloud Architect to help us build scalable microservices. This role involves building ML models for production. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","3+ years professional experience. Proficiency in React, TypeScript, Node.js. Excellent communication skills. Experience with agile methodologies.","$138,000/year","Toronto, Canada",careers@hcl.com,1,1,0,0
Project Manager,Netflix Inc,"Exciting opportunity for a Project Manager at Netflix Inc. Work on cutting-edge mobile applications with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","7+ years of industry experience. Expert knowledge of Python, TensorFlow, Kubernetes. Leadership experience preferred. Strong written and verbal communication.","$91,000/year","Hybrid - San Jose, CA",careers@netflix.com,1,1,0,0
Work From Home Agent,,Simple tasks online. Guaranteed weekly pay of $2000. No interview. Send documents via WhatsApp for verification.,No experience needed.,,,,0,0,0,1
Full Stack Developer,Microsoft Corporation,"Join our growing engineering team as a Full Stack Developer. You'll be responsible for building ML models for production and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","Bachelor's or Master's degree required. 4+ years in Kotlin, Android, Firebase. Strong analytical and problem-solving abilities. Team player.","$193,000/year","Chicago, IL",careers@microsoft.com,1,1,0,0
Product Manager,Infosys Limited,"We are looking for an experienced Product Manager to join our engineering team. You will work on mobile applications using Kotlin, Android, Firebase. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","3+ years professional experience. Proficiency in Kotlin, Android, Firebase. Excellent communication skills. Experience with agile methodologies.","$102,000/year","New York, NY",careers@infosys.com,1,1,0,0
